Key,Id,Shared Comments,English (United States)(en-US),English (United States)(en-US) Comments,Korean (South Korea)(ko-KR),Korean (South Korea)(ko-KR) Comments
UI_CharacterInfo_4,,,"The small-eared, round-eyed fox is our polar bear's friend.",,귀가 작고 둥글둥글한 이 여우는 우리 북극곰의 친구랍니다.,
UI_CharacterInfo_5,,,Eurasian reindeer can be threatening because they have powerful horns!,,유라시아 순록은 강력한 뿔을 지니고 있어 위협적일 수 있습니다!,
UI_CharacterInfo_1001,,,I wasn't born yesterday!,,북극 조개의 물대포를 얕보지 마세요!,
UI_CharacterAttack_1,,,"Throw a snowball at an enemy at a long distance, causing a single damage.",,공격: 먼 거리의 적에게 눈덩이를 던져 단일 피해를 입힙니다.,
UI_CharacterAttack_2,,,Throw a snowball at the enemy and cause spreading damage.,,공격: 적에게 눈덩이를 던져 확산 피해를 입힙니다.,
UI_CharacterAttack_3,,,Hit the enemy and cause high damage.,,공격: 적에게 박치기하여 높은 피해를 입힙니다.,
UI_CharacterAttack_4,,,Buff nearby allies to increase attack speed.,,버프: 가까운 아군에게 버프를 제공하여 공격 속도를 상승시킵니다.,
UI_CharacterAttack_5,,,Slow down monsters by bumping into enemies.,,공격: 적에게 박치기하여 몬스터를 느리게합니다.,
UI_CharacterAttack_1001,,,It appears when the sea level is exposed. It makes a relatively weak attack.,,보조: 해수면이 드러나면 나타납니다. 비교적 약한 공격을 가합니다.,
UI_MissionComplete,,,{0} Successful! {1} Gem acquired!,,{0} 성공! {1}젬 획득!,
UI_Go,,,GO,,GO,
UI_TIK,,,TIK,,TIK,
UI_GemInterest,,,Bonus +{0},,보너스 +{0},
UI_WaveRound,,,Wave {0},,Wave {0},
UI_ReLocation,,,Relocation,,재배치,
UI_SummonBoss,,,Lv.{0} Summon Boss,,Lv.{0} 보스 소환,
UI_Reward,,,Reward,,보상,
UI_MissionConfirm,,,Mission,,미션확인,
UI_MissionConfirmCount,,,Mission({0}/{1}),,미션확인({0}/{1}),
UI_Summon,,,Summon,,소환,
UI_Pause,,,Pause,,일시 정지,
UI_Profile,,,Profile,,프로필,
UI_NicknameEdit,,,Nickname Edit,,닉네임 변경,
UI_NicknameDesc,,,Please change your Nickname.,,닉네임을 설정해주세요.,
UI_NicknameAlready,,,<color=#FF0000>This nickname is already in use.</color>,,<color=#FF0000>이미 사용중인 닉네임입니다.</color>,
UI_NicknameImpossible,,,<color=#FF0000>This nickname is not available.</color>,,<color=#FF0000>사용할 수 없는 닉네임입니다.</color>,
UI_NicknameMinimum,,,<color=#FF0000>Please use {0} or higher.</color>,,<color=#FF0000>{0}이상 사용해주세요.</color>,
UI_NicknameMaximum,,,<color=#FF0000>Please use the nickname below {0}.</color>,,<color=#FF0000>{0}이하로 사용해주세요.</color>,
UI_NicknameSucceess,,,<color=#00B050>This nickname is available.</color>,,<color=#00B050>사용 가능한 닉네임입니다.</color>,
UI_NicknameRule1,,,You can use it for free once per account.,,계정당 1회 무료 사용할 수 있습니다.,
UI_NicknameRule2,,,Offensive words can be subject to sanctions.,,불쾌감을 주는 단어는 제재의 대상이 될 수 있습니다.,
UI_NicknameRule3,,,Special characters and spaces are not allowed.,,특수문자 및 공백은 사용할 수 없습니다.,
UI_Play,,,Play,,플레이,
UI_Energy_Store,,,Energy Store,,에너지 구매,
UI_Energy_Need,,,Do you need energy?,,에너지가 부족하신가요?,
UI_GetCharacter_Glacier,,,[Glacier] Random Character,,[빙하] 캐릭터 뽑기,
UI_TodayGo,,,Today`s GO,,오늘의 GO,
UI_LeaderBoard,,,Leader Board,,리더보드,
UI_Setting,,,Setting,,설정,
UI_PlayerUID,,,Player UID,,플레이어UID,
UI_Glacier,,,Glacier,,빙하,
UI_Ocean,,,Ocean,,바다,
UI_MyCharacter,,,My Character,,보유한 캐릭터,
UI_Information,,,Information,,정보,
UI_AttackInformation,,,Attack Information,,공격정보,
UI_AttackDamage,,,Attack Damage,,공격력,
UI_AttackSpeed,,,Attack Speed,,공격 속도,
UI_DetectRange,,,Range,,사거리,
UI_TargetCount,,,Target Count,,타겟 수,
UI_StrikeRange,,,Spreed Range,,확산 피해,
UI_BuffValue,,,Buff Value,,적용 효과,
UI_BuffCycle,,,Buff Cycle,,버프 주기,
UI_BuffDuration,,,Buff Duration,,지속 시간,
UI_BuffRange,,,Buff Range,,벅용 범위,
UI_Examine,,,Examine,,중복 확인,
UI_Logout_MSG,,,Do you want to Logout?,,로그아웃 하시겠습니까?,
UI_Withdrawal,,,Withdrawal,,게임탈퇴,
UI_Withdrawal_Fail,,,The withdrawal has failed.,,탈퇴에 실패하였습니다.,
UI_GmeOver_Desc,,,We will change the GO score to TIK every night and pay it. TIK can be used like cash or inside the game.,,매일밤 자정 GO점수는 TIK로 변경하여 지급해드립니다. TIK는 현금처럼 사용하거나 게임 내부에서 사용 가능합니다.,
UI_Ranking,,,Ranking,,랭킹,
UI_Store_1,,,10 Energy,,10 에너지 구매,
UI_Store_2,,,50 Energy,,50 에너지 구매,
UI_Taika_English,,,Taika,,Taika,
UI_Taika_Korean,,,Taika,,타이카,
UI_Staika_English,,,Staika,,Staika,
UI_Staika_Korean,,,Staika,,스타이카,
UI_Digitalproperty,,,Digital Property,,디지털자산,
UI_Count_TIK,,,{0} TIK,,{0} TIK,
UI_Count_STIK,,,{0} STIK,,{0} STIK,
UI_Nickname,,,Nickname,,닉네임,
UI_Confirm,,,Confirm,,확인,
UI_Setting,,,Setting,,환경설정,
UI_Sound,,,Sound,,사운드,
UI_Effect,,,Effect,,이펙트,
UI_BGM,,,BGM,,배경음,
UI_Language,,,Language,,언어,
UI_Account_Connect,,,Account,,계정연결,
UI_Logout,,,Logout,,로그아웃,
UI_Google_Connect,,,Google Connected,,Google 연동됨,
UI_Support,,,Support,,지원,
UI_TermsConitions,,,Terms and Conditions,,이용약관,
UI_Operation Policy,,,Operation Policy,,운영정책,
UI_Distribute_Desc,,,TIK is distributed daily at UTC + 0 o'clock.,,TIK은 매일 UTC+0시에 맞추어 배분됩니다.,
UI_Today,,,Today,,오늘,
UI_Yesterday,,,Yesterday,,어제,
UI_SUN,,,SUN,,일,
UI_MON,,,MON,,월,
UI_TUE,,,TUE,,화,
UI_WED,,,WED,,수,
UI_THU,,,THU,,목,
UI_FRI,,,FRI,,금,
UI_SAT,,,SAT,,토,
ENERGY_1,,,Energy Purchase,,에너지 구매,
ENERGY_2,,,Energy Purchase,,에너지 구매,
UI_Grade_1,,,Common,,일반,
UI_Grade_2,,,Rare,,레어,
UI_Grade_3,,,Unique,,유니크,
UI_Grade_4,,,Epic,,에픽,
UI_Grade_5,,,Legend,,전설,
UI_Assign,,,Assign,,배치,
UI_Cancel,,,Cancel,,취소,
UI_Change_Desc,,,You can change it by touching it.,,터치하여 변경할 수 있습니다.,
UI_Taika,,,Taika,,Taika,
UI_Complete,,,Complete,,완료,
UI_GameOver,,,GameOver,,게임 오버,
UI_Token_Desc,,,"Good job! Get a higher GO score!
We will change the accumulated GO score at UTC +0 o'clock to TIK every day.",,"잘했어요! 더 높은 GO점수를 쌓아보세요!
매일 UTC +0시에 누적된 GO점수를 TIK로 변경해드립니다.",
UI_EXIT,,,EXIT,,EXIT,
